,Food,Beverages & Tobacco,Crude Materials,Animal & Vege Oils,Chemicals & Chemical Products,Manufactured Goods,Machinery & Equipment
Jan-10,23.283,23.973,9.402,1.743,209.434,275.21,1732.623
Feb-10,15.61,14.396,11.675,1.082,180.369,228.218,1423.786
Mar-10,23.356,21.866,12.079,1.931,253.624,292.501,1927.887
Apr-10,23.997,27.106,19.761,1.061,248.195,309.504,1832.764
May-10,21.989,25.079,19.725,0.781,258.745,313.995,1672.684
Jun-10,25.665,32.014,26.07,1.523,266.547,345.578,1783.511
Jul-10,30.171,66.523,21.435,0.59,232.642,315.284,1926.774
Aug-10,31.697,76.712,17.837,1.584,289.103,345.25,1903.336
Sep-10,24.54,49.156,13.668,1.198,237.105,277.377,1763.107
Oct-10,29.692,53.474,19.788,0.801,255.568,304.895,1798.128
Nov-10,36.583,47.031,22.217,1.096,226.016,277.247,1751.216
Dec-10,33.808,45.793,17.613,0.866,264.301,323.913,2497.651
Jan-11,33.381,35.503,21.05,0.495,242.626,282.998,1821.645
Feb-11,32.665,33.302,22.537,1.006,230.486,278.977,1467.669
Mar-11,44.71,54.711,25.52,0.767,292.953,339.153,1951.335
Apr-11,36.339,36.717,26.603,2.831,293.663,369.983,1789.934
May-11,72.636,38.756,25.358,0.54,292.033,376.401,1741.702
Jun-11,39.895,51.452,29.298,1.099,293.532,353.75,1951.532
Jul-11,167.089,50.552,25.235,0.549,271.154,349.066,1908.75
Aug-11,57.604,42.692,30.769,0.397,260.73,340.187,1982.032
Sep-11,171.463,65.053,24.832,1.948,265.388,335.669,2102.3
Oct-11,108.779,55.822,19.14,1.073,295.62,358.323,2011.272
Nov-11,49.708,67.753,15.639,1.147,291,340.388,2009.882
Dec-11,43.498,40.053,19.402,1.291,270.719,386.915,2027.621
Jan-12,34.351,32.827,15.209,0.967,240.373,318.985,1702.646
Feb-12,83.855,43.758,22.221,0.76,351.544,343.642,1928.9
Mar-12,54.823,62.18,24.81,0.636,326.861,361.284,1908.189
Apr-12,27.775,37.592,19.406,1.19,278.285,398.301,1975.566
May-12,35.647,37.135,20.107,0.581,303.615,415.763,2071.531
Jun-12,39.131,33.17,19.755,0.871,286.906,333.593,2035.114
Jul-12,40.216,49.424,24.332,1.755,282.601,427.786,2037.859
Aug-12,29.296,49.245,16.053,0.834,257.365,342.849,1688.784
Sep-12,32.04,51.737,24.734,1.023,259.61,321.604,1876.049
Oct-12,33.601,55.391,31.569,0.958,306.094,323.501,1875.331
Nov-12,29.011,40.942,22.354,0.944,259.431,315.748,1709.372
Dec-12,31.358,28.142,22.96,0.778,242.139,338.461,1629.098
Jan-13,35.233,35.734,27.259,0.689,249.854,468.519,1820.699
Feb-13,27.453,24.564,20.856,0.266,223.997,714.32,1490.277
Mar-13,31.641,32.568,28.908,1.098,294.347,401.537,1805.492
Apr-13,40.972,59.184,28.284,1.06,274.371,417.367,1933.46
May-13,33.737,29.182,23.554,1.249,319.324,404.012,1798.581
Jun-13,34.24,40.127,27.877,1.189,302.271,353.535,1866.791
Jul-13,37.027,46.281,19.053,0.725,287.925,335.799,1846.33
Aug-13,30.87,37.841,14.969,1.337,276.892,345.12,1606.18
Sep-13,33.719,50.658,17.31,2.695,275.945,310.774,1732.175
Oct-13,51.909,60.595,243.736,1.05,292.404,338.673,1825.349
Nov-13,32.448,43.859,37.145,1.24,251.831,270.39,1609.94
Dec-13,34.858,37.324,23.544,1.003,260.858,348.492,1599.393
Jan-14,37.488,26.739,25.658,0.964,248.053,268.338,1677.87
Feb-14,25.623,30.112,22.616,0.874,257.99,288.209,1523.442
Mar-14,31.852,30.627,22.475,0.751,280.882,376.735,1875.433
Apr-14,35.421,28.622,17.105,0.766,280.745,308.041,1802.066
May-14,36.797,36.641,19.293,1.257,263.824,291.559,1646.256
Jun-14,43.452,35.325,16.743,1.494,299.814,303.95,1649.622
Jul-14,36.032,42.295,15.971,1.363,264.538,317.837,1473.239
Aug-14,35.924,34.445,19.899,1.293,285.024,370.425,1702.324
Sep-14,36.823,47.689,33.302,1.102,318.659,483.871,1724.094
Oct-14,40.005,46.912,24.754,1,320.503,333.476,1640.059
Nov-14,36.884,45.322,22.361,0.923,275.774,395.235,1616.009
Dec-14,41.497,33.106,29.928,1.018,274.957,314.056,1684.007
Jan-15,48.459,29.483,17.514,0.877,290.907,414.472,1612.69
Feb-15,34.773,29.406,15.029,0.558,227.271,237.778,1431.886
Mar-15,38.041,52.67,28.314,1.024,318.931,279.776,1801.618
Apr-15,38.007,39.878,26.673,0.885,301.838,350.737,1754.72
May-15,46.342,39.624,26.699,1.473,255.597,217.728,1570.899
Jun-15,50.765,42.447,24.608,1.467,298.295,266.458,1745.991
Jul-15,41.027,32.95,26.5,0.684,248.887,267.97,1547.08
Aug-15,42.064,58.738,19.874,0.961,292.556,282.708,1631.221
Sep-15,41.289,49.461,19.81,0.714,309.756,259.593,1743.94
Oct-15,29.319,39.975,22.412,0.874,298.982,273.072,1702.465
Nov-15,35.366,44.262,26.491,0.936,273.446,216.292,1635.486
Dec-15,45.554,45.417,28.268,0.787,243.602,277.933,1748.094
Jan-16,49.161,49.915,24.225,1.17,240.975,195.776,1619.991
Feb-16,39.406,39.95,21.451,0.733,220.286,235.393,1455.584
Mar-16,54.441,45.423,24.143,0.563,264.518,266.317,1753.099
Apr-16,51.991,38.614,25.055,0.866,251.473,240.476,1553.399
May-16,57.55,34.922,26.138,1.026,288.178,235.603,1484.961
Jun-16,42.717,34.501,29.916,0.883,268.71,226.805,1683.562
Jul-16,34.758,35.349,27.871,0.69,253.532,226.231,1639.384
Aug-16,44.513,54.046,30.203,0.693,310.479,208.234,1687.297
Sep-16,36.265,48.174,29.581,0.461,281.54,213.919,1848.568
Oct-16,31.833,41.571,30.691,1.123,268.535,228.317,1650.194
Nov-16,31.862,39.397,27.289,0.702,297.669,227.105,1597.666
Dec-16,28.922,40.471,27.926,0.673,262.645,233.008,1671.455
Jan-17,30.792,48.099,28.587,0.553,268.153,202.19,1537.324
Feb-17,26.86,33.731,25.809,0.525,257.552,201.53,1463.253
Mar-17,43.324,39.089,29.396,0.711,301.091,214.184,1662.057
Apr-17,51.271,38.356,31.299,0.876,262.018,187.497,1475.571
May-17,63.487,49.498,25.777,0.663,309.149,276.355,1795.95
Jun-17,34.406,39.21,24.11,0.217,310.767,199.288,1551.05
Jul-17,41.902,43.992,22.642,0.375,285.28,248.923,1564.613
Aug-17,27.369,54.715,27.689,0.212,297.667,261.249,1665.65
Sep-17,22.872,64.632,28.18,0.344,284.272,232.756,1522.937
Oct-17,21.068,46.245,18.998,0.554,280.243,231.498,1653.159
Nov-17,25.246,52.772,26.359,0.46,292.829,262.99,1802.472
Dec-17,23.742,40.71,23.632,0.148,290.815,223.533,1706.653
Jan-18,38.23,35.6,30.978,0.478,313.824,264.169,1696.376
Feb-18,21.413,23.786,26.264,0.481,244.794,250.857,1544.301
Mar-18,32.472,42.298,36.199,0.393,298.055,302.326,1893.638
Apr-18,33.364,36.095,24.031,0.38,290.214,303.39,1716.377
May-18,34.833,40.355,28.891,0.394,343.352,328.799,1896.479
Jun-18,27.965,39.112,32.23,0.452,264.296,252.699,1651.554
Jul-18,20.807,57.179,32.461,0.4,337.748,302.1,1960.263
Aug-18,26.8,57.058,33.116,0.392,328.041,318.181,2147.329
Sep-18,19.169,40.646,26.43,0.502,312.734,269.265,1736.954
Oct-18,23.395,47.824,26.516,0.416,326.536,270.447,1967.279
Nov-18,25.539,51.078,25.16,0.244,318.493,269.263,1675.93
Dec-18,24.166,39.528,25.584,0.292,273.239,288.832,1923.159
Jan-19,29.502,35.298,23.543,0.584,293.708,341.217,1732.801
Feb-19,17.954,24.803,22.753,0.25,268.622,204.411,1401.632
Mar-19,32.031,36.022,27.852,0.62,337.88,265.144,1778.756
Apr-19,29.251,34.608,26.383,0.382,314.04,275.614,1650.302
May-19,30.02,40.503,23.587,0.364,261.256,320.686,1584.847
Jun-19,22.443,38.151,27.497,0.446,279.113,255.71,1602.945
Jul-19,26.333,47.405,17.935,0.468,326.933,280.654,1700.228
Aug-19,28.167,44.334,17.766,0.452,314.489,312.167,1636.117
Sep-19,27.013,62.348,20.557,0.349,317.132,271.375,1604.858
Oct-19,29.525,36.474,21.145,0.354,325.527,242.089,1671.06
Nov-19,25.492,40.808,14.975,0.483,337.79,290.841,1745.427
Dec-19,28.173,40.993,16.949,0.385,367.411,309.81,1672.157
Jan-20,29.12,29.352,20.631,0.59,331.376,271.857,1703.011
